Simulated Annealing
{'Tf': 0.001, 'steps': 1000, 'T0': 3, 'dump': 'utils/sa4.txt'}
<class 'ising.SpinGlass'>(data_file="sample_data/ising4.txt", spin_configuration="0x3731")
2.13542342342,-11.09923,0x5366
2.13242142142,-14.37433,0xd366
2.12641741742,-14.93969,0x9366
2.11440940941,-11.31815,0x9166
2.11140740741,-11.44655,0xb166
2.1024014014,-11.58391,0xa166
2.09039339339,-14.74923,0x8166
2.08138738739,-18.37077,0x8366
2.07838538539,-14.42879,0x8266
2.07538338338,-18.37077,0x8366
2.06937937938,-17.80541,0xc366
2.02434934935,-13.86343,0xc266
2.01834534535,-14.42879,0x8266
2.01534334334,-16.47067,0x8666
2.00933933934,-12.64955,0x86e6
2.00633733734,-9.51965,0x86f6
2.00333533534,-12.64955,0x86e6
1.98832532533,-16.47067,0x8666
1.97631731732,-20.41265,0x8766
1.97031331331,-16.98157,0x9766
1.9432952953,-14.93969,0x9366
1.94029329329,-16.98157,0x9766
1.93128728729,-16.23451,0x9566
1.92828528529,-19.66559,0x8566
1.92528328328,-18.23393,0x8466
1.92228128128,-18.19143,0x466
1.91927927928,-21.12771,0xc66
1.90126726727,-19.41041,0xd66
1.89526326326,-21.12771,0xc66
1.88325525526,-19.41041,0xd66
1.85323523524,-19.62309,0x566
1.84422922923,-16.45777,0x2566
1.83822522523,-15.02611,0x2466
1.83522322322,-15.06861,0xa466
1.81721121121,-12.00139,0xa46e
1.8052032032,-10.34353,0x246e
1.8022012012,-12.67185,0x346e
1.7991991992,-12.54345,0x146e
1.7931951952,-12.67185,0x346e
1.78719119119,-17.35443,0x3466
1.77518318318,-16.80513,0xb466
1.77218118118,-17.35443,0x3466
1.76917917918,-17.22603,0x1466
1.74816516517,-17.35443,0x3466
1.73615715716,-20.29071,0x3c66
1.69112712713,-17.35443,0x3466
1.68212112112,-17.22603,0x1466
1.67911911912,-20.16231,0x1c66
1.67611711712,-20.36807,0x1ce6
1.67011311311,-18.60481,0x1ee6
1.6490990991,-19.57021,0xee6
1.63709109109,-20.36323,0xfe6
1.60707107107,-19.61617,0xde6
1.58905905906,-20.36323,0xfe6
1.58605705706,-19.61617,0xde6
1.56804504505,-16.77689,0x1de6
1.55303503504,-17.52395,0x1fe6
1.55003303303,-13.83757,0x1fee
1.53802502503,-13.09051,0x1dee
1.52601701702,-10.56173,0x1def
1.51701101101,-10.69013,0x3def
1.51400900901,-13.21891,0x3dee
1.51100700701,-13.09051,0x1dee
1.502001001,-15.92979,0xdee
1.495996997,-19.61617,0xde6
1.47198098098,-20.36323,0xfe6
1.45096696697,-16.67685,0xfee
1.43295495495,-15.92979,0xdee
1.42094694695,-16.67685,0xfee
1.41794494494,-15.92979,0xdee
1.39092692693,-19.61617,0xde6
1.3458968969,-20.36323,0xfe6
1.33989289289,-19.61617,0xde6
1.33388888889,-19.41041,0xd66
1.31887887888,-20.15747,0xf66
1.29786486486,-19.36445,0xe66
1.28885885886,-20.15747,0xf66
1.27985285285,-19.41041,0xd66
1.24082682683,-19.62309,0x566
1.23482282282,-19.41041,0xd66
1.22581681682,-20.15747,0xf66
1.22281481481,-20.36323,0xfe6
1.17778478478,-19.57021,0xee6
1.16577677678,-21.33347,0xce6
1.15376876877,-20.36807,0x1ce6
1.12975275275,-18.60481,0x1ee6
1.09072672673,-18.39905,0x1e66
1.08172072072,-19.36445,0xe66
1.07271471471,-21.12771,0xc66
1.03368868869,-19.41041,0xd66
1.02468268268,-19.61617,0xde6
