Simulated Annealing
{'Tf': 0.001, 'steps': 1000, 'T0': 3, 'dump': 'utils/sa12.txt'}
<class 'ising.SpinGlass'>(data_file="sample_data/ising12.txt", spin_configuration="0xe3cf55734502689b3c4c1e48cf8bfbc4bf9a")
2.85890590591,-65.4484,0xffcf457385026c1b3e5c1b404e9bea44fb32
2.8559039039,-65.72756,0xffcf447385026c1b3e5c1b404e9bea44fb32
2.8468978979,-61.9099,0xffcf467385026c1b3e5c1b404e9bea44fb32
2.84089389389,-60.47436,0xffcf467385026c1b3e5c1a404e9bea44fb32
2.83789189189,-64.74536,0xffcf467385026c1b3e5d1a404e9bea44fb32
2.83488988989,-64.47264,0xffcf467385026c3b3e5d1a404e9bea44fb32
2.83188788789,-64.2979,0xffcf467385026c3b3e5d1a424e9bea44fb32
2.82288188188,-65.36242,0xffcf46738d026c3b3e5d1a424e9bea44fb32
2.81987987988,-71.14082,0xffcf46738d026c3b3c5d1a424e9bea44fb32
2.81687787788,-72.57636,0xffcf46738d026c3b3c5d1b424e9bea44fb32
2.81387587588,-69.46172,0xffcf46738d026c3b3c5d5b424e9bea44fb32
2.80787187187,-66.05996,0xffce46738d026c3b3c5d5b424e9bea44fb32
2.79586386386,-69.1746,0xffce46738d026c3b3c5d1b424e9bea44fb32
2.79286186186,-71.54626,0xffce46738d026c3b3c5d1b424e9bea4cfb32
2.78985985986,-68.1198,0xffce46738d02643b3c5d1b424e9bea4cfb32
2.78685785786,-72.21676,0xffce46738d02643b3c5d1b424e9beb4cfb32
2.78385585586,-77.8719,0xffce46738d02643b1c5d1b424e9beb4cfb32
2.78085385385,-77.82042,0xffce46738d02643b1c5d1b524e9beb4cfb32
2.77785185185,-82.23,0xffce46738d02643b1c5d1b524ebbeb4cfb32
2.75983983984,-88.83092,0xffce46738d02603b1c5d1b524ebbeb4cfb32
2.75683783784,-89.25358,0xffce46738d12603b1c5d1b524ebbeb4cfb32
2.74783183183,-89.49058,0xffce46738d12e03b1c5d1b524ebbeb4cfb32
2.74482982983,-87.47234,0xffce46738d12e03b1c5d1b524fbbeb4cfb32
2.73882582583,-79.38494,0xffce46738d12e03b1c5d1b524fbbeb4cdb32
2.73282182182,-87.47234,0xffce46738d12e03b1c5d1b524fbbeb4cfb32
