Simulated Annealing
{'Tf': 0.001, 'steps': 1000, 'T0': 3, 'dump': 'utils/sa8.txt'}
<class 'ising.SpinGlass'>(data_file="sample_data/ising8.txt", spin_configuration="0x17ccc569b2446e0b")
1.84723123123,-65.31391,0xf0f3eff966c26bc6
1.84122722723,-65.89203,0xf0fbeff966c26bc6
1.83222122122,-67.12499,0xf0fbefd966c26bc6
1.82621721722,-70.66379,0xf0fbe7d966c26bc6
1.8022012012,-74.21587,0xf0fbe7d966c263c6
1.79019319319,-72.04859,0xf8fbe7d966c263c6
1.76317517518,-70.63367,0xf8dbe7d966c263c6
1.75717117117,-71.38025,0xf8dbe7d966c263c2
1.72414914915,-70.14729,0xf8dbe7f966c263c2
1.71814514515,-71.38025,0xf8dbe7d966c263c2
1.71514314314,-67.63849,0xf8dbe7d966d263c2
1.70913913914,-67.28341,0xf8dfe7d966d263c2
1.70613713714,-70.32421,0xf8dfe7d966da63c2
1.70313513514,-67.47439,0xf8dfa7d966da63c2
1.69713113113,-65.78187,0xf8dfa7d966da67c2
1.68212112112,-63.11035,0xf8dfa7d964da67c2
1.67911911912,-66.11735,0xf8df87d964da67c2
1.6551031031,-66.65807,0xf9df87d964da67c2
1.6430950951,-63.61727,0xf9df87d964d267c2
1.64009309309,-63.95519,0xfbdf87d964d267c2
1.63709109109,-61.85157,0xfbdf87d960d267c2
1.61907907908,-64.89237,0xfbdf87d960da67c2
1.60707107107,-66.45317,0xfbdf87d960da67ca
1.58605705706,-67.45147,0xffdf87d960da67ca
1.57705105105,-67.07859,0xffdd87d960da67ca
1.55003303303,-70.08093,0xffdd87d960da67ce
1.52301501502,-70.43929,0xfddd87d960da67ce
1.51701101101,-69.89857,0xfcdd87d960da67ce
1.47798498498,-74.49409,0xfcdd87d960da63ce
1.47198098098,-78.53937,0xfcdd87d968da63ce
1.46597697698,-75.58929,0xfccd87d968da63ce
1.43895895896,-72.64893,0xfccd87d968da63c6
1.43595695696,-70.76585,0xfc8d87d968da63c6
1.41194094094,-70.84781,0xfc8d87d96ada63c6
1.40893893894,-66.48721,0xec8d87d96ada63c6
1.37891891892,-64.64585,0xec8d87d97ada63c6
1.3488988989,-69.00645,0xfc8d87d97ada63c6
1.3458968969,-71.82667,0xfc8dc7d97ada63c6
1.33088688689,-72.40479,0xfc85c7d97ada63c6
1.27685085085,-67.87901,0xfc85c7d97ada63c2
1.26484284284,-66.37275,0xfc84c7d97ada63c2
1.24683083083,-67.87901,0xfc85c7d97ada63c2
1.24082682683,-68.74501,0xfc85c7997ada63c2
1.23182082082,-73.27079,0xfc85c7997ada63c6
1.1957967968,-73.00167,0xf485c7997ada63c6
1.18979279279,-72.91971,0xf485c79978da63c6
1.17778478478,-72.93103,0xf481c79978da63c6
1.15376876877,-73.47175,0xf581c79978da63c6
1.0577047047,-72.93103,0xf481c79978da63c6
1.03969269269,-76.94527,0xf4c1c79978da63c6
1.02768468468,-77.02723,0xf4c1c7997ada63c6
1.00066666667,-77.56795,0xf5c1c7997ada63c6
0.991660660661,-77.02723,0xf4c1c7997ada63c6
0.958638638639,-77.01591,0xf4c5c7997ada63c6
0.952634634635,-77.28503,0xfcc5c7997ada63c6
0.931620620621,-80.22539,0xfcc5c7997ada63ce
0.904602602603,-80.76611,0xfdc5c7997ada63ce
0.901600600601,-79.43897,0xfdc5c7997ada73ce
0.886590590591,-84.02373,0xfdc5c7997ada7bce
0.877584584585,-83.94177,0xfdc5c79978da7bce
0.862574574575,-85.78313,0xfdc5c79968da7bce
0.805536536537,-86.32577,0xfdc5d79968da7bce
0.745496496496,-85.78505,0xfcc5d79968da7bce
0.739492492492,-82.67363,0xfcc5d79968de7bce
0.70647047047,-82.68495,0xfcc1d79968de7bce
0.703468468468,-83.16543,0xfcc3d79968de7bce
0.67645045045,-82.62279,0xfcc3c79968de7bce
0.658438438438,-81.75679,0xfcc3c7d968de7bce
0.640426426426,-82.62279,0xfcc3c79968de7bce
0.625416416416,-83.16351,0xfdc3c79968de7bce
0.622414414414,-82.29751,0xfdc3c7d968de7bce
0.61641041041,-83.27755,0xffc3c7d968de7bce
0.613408408408,-84.14355,0xffc3c79968de7bce
0.463308308308,-84.22551,0xffc3c7996ade7bce
0.430286286286,-82.38415,0xffc3c7997ade7bce
0.400266266266,-85.49557,0xffc3c7997ada7bce
0.274182182182,-85.34315,0xffc3c7997eda7bce
0.268178178178,-85.88579,0xffc3d7997eda7bce
0.253168168168,-85.88109,0xffc3d7897eda7bce
0.130086086086,-85.88579,0xffc3d7997eda7bce
0.100066066066,-85.88109,0xffc3d7897eda7bce
0.055036036036,-87.50909,0xffc3d7896eda7bce
0.013008008008,-87.66151,0xffc3d7896ada7bce
